Date,cumulative-cases,cumulative-deaths,cumulative-recoveries,deaht-rate
2003-03-17,95,1,0,1.05%
2003-03-18,123,1,0,0.81%
2003-03-19,150,5,0,3.33%
2003-03-20,173,6,0,3.47%
2003-03-21,203,6,0,2.96%
2003-03-22,222,7,0,3.15%
2003-03-23,241,8.5,0,3.53%
2003-03-24,260,10,0,3.85%
2003-03-25,286,10,0,3.50%
2003-03-26,316,10,0,3.16%
2003-03-27,367,10,0,2.72%
2003-03-28,425,10,0,2.35%
2003-03-29,470,10,0,2.13%
2003-03-30,500,11.5,0,2.30%
2003-03-31,530,13,0,2.45%
2003-04-01,685,16,0,2.34%
2003-04-02,708,16,0,2.26%
2003-04-03,734,17,0,2.32%
2003-04-04,761,17,0,2.23%
2003-04-05,800,20,0,2.50%
2003-04-06,841.5,21.5,0,2.55%
2003-04-07,883,23,0,2.60%
2003-04-08,928,25,0,2.69%
2003-04-09,970,27,0,2.78%
2003-04-10,998,30,154,3.01%
2003-04-11,1059,32,169,3.02%
2003-04-12,1108,35,215,3.16%
2003-04-13,1149,41,222,3.57%
2003-04-14,1190,47,229,3.95%
2003-04-15,1232,56,243,4.55%
2003-04-16,1268,61,257,4.81%
2003-04-17,1297,65,272,5.01%
2003-04-18,1358,81,363,5.96%
2003-04-19,1358,81,363,5.96%
2003-04-20,1380,87.5,399.5,6.34%
2003-04-21,1402,94,436,6.70%
2003-04-22,1434,99,461,6.90%
2003-04-23,1458,105,522,7.20%
2003-04-24,1488,109,567,7.33%
2003-04-25,1510,115,614,7.62%
2003-04-26,1527,121,632,7.92%
2003-04-27,1542,129.5,671,8.40%
2003-04-28,1557,138,710,8.86%
2003-04-29,1572,150,759,9.54%
2003-04-30,1589,157,791,9.88%
2003-05-01,1600,162,834,10.13%
2003-05-02,1611,170,878,10.55%
2003-05-03,1621,179,898,11.04%
2003-05-04,1629,183,914,11.23%
2003-05-05,1637,187,930,11.42%
2003-05-06,1646,193,958,11.73%
2003-05-07,1654,204,984,12.33%
2003-05-08,1661,208,1008,12.52%
2003-05-09,1667,210,1015,12.60%
2003-05-10,1674,212,1035,12.66%
2003-05-11,1678.5,215,1050.5,12.81%
2003-05-12,1683,218,1066,12.95%
2003-05-13,1689,225,1090,13.32%
2003-05-14,1698,227,1128,13.37%
2003-05-15,1703,234,1160,13.74%
2003-05-16,1706,238,1171,13.95%
2003-05-17,1710,243,1191,14.21%
2003-05-18,1712,247,1202,14.43%
2003-05-19,1714,251,1213,14.64%
2003-05-20,1718,253,1229,14.73%
2003-05-21,1719,255,1237,14.83%
2003-05-22,1722,258,1247,14.98%
2003-05-23,1724,260,1255,15.08%
2003-05-24,1724,262,1266,15.20%
2003-05-25,1725,264.5,1271,15.33%
2003-05-26,1726,267,1276,15.47%
2003-05-27,1728,269,1285,15.57%
2003-05-28,1730,270,1295,15.61%
2003-05-29,1732,273,1302,15.76%
2003-05-30,1736,274,1304,15.78%
2003-05-31,1739,278,1310,15.99%
2003-06-01,1742.5,280,1314.5,16.07%
2003-06-02,1746,282,1319,16.15%
2003-06-03,1747,283,1326,16.20%
2003-06-04,1748,283,1339,16.19%
2003-06-05,1748,284,1343,16.25%
2003-06-06,1750,286,1350,16.34%
2003-06-07,1751,286.6666667,1355,16.37%
2003-06-08,1752,287.3333333,1360,16.40%
2003-06-09,1753,288,1365,16.43%
2003-06-10,1754,290,1368,16.53%
2003-06-11,1754,290,1368,16.53%
2003-06-12,1755,291,1377,16.58%
2003-06-13,1755,293,1380,16.70%
2003-06-14,1755,293.6666667,1382,16.73%
2003-06-15,1755,294.3333333,1384,16.77%
2003-06-16,1755,295,1386,16.81%
2003-06-17,1755,295,1387,16.81%
2003-06-18,1755,295,1393,16.81%
2003-06-19,1755,296,1396,16.87%
2003-06-20,1755,296,1403,16.87%
2003-06-21,1755,296,1405.666667,16.87%
2003-06-22,1755,296,1408.333333,16.87%
2003-06-23,1755,296,1411,16.87%
2003-06-24,1755,296,1417,16.87%
2003-06-25,1755,296,1419,16.87%
2003-06-26,1755,296,1419,16.87%
2003-06-27,1755,297,1422,16.92%
2003-06-28,1755,297.3333333,1424.333333,16.94%
2003-06-29,1755,297.6666667,1426.666667,16.96%
2003-06-30,1755,298,1429,16.98%
2003-07-01,1755,298,1429,16.98%
2003-07-02,1755,298,1429,16.98%
2003-07-03,1755,298,1429,16.98%
2003-07-04,1755,298,1430,16.98%
2003-07-05,1755,298,1430,16.98%
2003-07-06,1755,298,1430,16.98%
2003-07-07,1755,298,1430,16.98%
2003-07-08,1755,298,1430,16.98%
2003-07-09,1755,298,1431,16.98%
2003-07-10,1755,298,1431,16.98%
2003-07-11,1755,298,1433,16.98%